title,video_id,channel,clim_change,glob_warm,carb_emis,green_en_policies,fos_fu_ind,clim_activ,env_regul,clim_polic_debate,renew_en_trans,carb_tax
Climate Change: 'An APPALLING Scam!' w/ Jordan Peterson,afYRZUhE1-o,Jordan Peterson,0.531,0.48,0.403,0.382,0.261,0.347,0.365,0.435,0.273,0.356
Climate Change: 'An APPALLING Scam!' w/ Jordan Peterson,afYRZUhE1-o,Jordan Peterson,0.536,0.5,0.49,0.499,0.299,0.493,0.394,0.547,0.291,0.434
Climate Change: 'An APPALLING Scam!' w/ Jordan Peterson,afYRZUhE1-o,Jordan Peterson,0.297,0.307,0.302,0.32,0.371,0.342,0.29,0.39,0.304,0.323
Joe Rogan: Climate Change Is A Hoax,9bTMzLCUjnM,Joe Rogan,0.434,0.403,0.167,0.127,0.069,0.291,0.117,0.294,0.204,0.134
Joe Rogan: Climate Change Is A Hoax,9bTMzLCUjnM,Joe Rogan,0.482,0.524,0.321,0.255,0.269,0.421,0.173,0.425,0.22,0.239
Joe Rogan: Climate Change Is A Hoax,9bTMzLCUjnM,Joe Rogan,0.289,0.354,0.317,0.18,0.263,0.298,0.186,0.349,0.125,0.277
Joe Rogan: Climate Change Is A Hoax,9bTMzLCUjnM,Joe Rogan,0.465,0.521,0.331,0.287,0.25,0.434,0.199,0.437,0.2,0.281
Joe Rogan: Climate Change Is A Hoax,9bTMzLCUjnM,Joe Rogan,0.379,0.368,0.295,0.177,0.136,0.318,0.2,0.313,0.173,0.201
Joe Rogan: Climate Change Is A Hoax,9bTMzLCUjnM,Joe Rogan,0.169,0.171,0.245,0.268,0.356,0.183,0.337,0.276,0.163,0.235
Joe Rogan: Climate Change Is A Hoax,9bTMzLCUjnM,Joe Rogan,0.378,0.53,0.27,0.271,0.194,0.457,0.192,0.466,0.163,0.221
The Weather Channel's Founder Exposes 'GLOBAL WARMING HOAX' On CNN,2ZLf4zVVRrY,John Coleman,0.522,0.502,0.299,0.299,0.244,0.52,0.334,0.559,0.256,0.243
The Weather Channel's Founder Exposes 'GLOBAL WARMING HOAX' On CNN,2ZLf4zVVRrY,John Coleman,0.428,0.425,0.347,0.411,0.309,0.49,0.446,0.578,0.183,0.363
Climate Change GLOBAL WARMING IS THE BIGGEST FRAUD SCAM IN HISTORY Dan Pena,R4P-syCkdMU,Dan Pena,0.227,0.194,0.232,0.211,0.219,0.199,0.183,0.262,0.191,0.294
Climate Change GLOBAL WARMING IS THE BIGGEST FRAUD SCAM IN HISTORY Dan Pena,R4P-syCkdMU,Dan Pena,0.315,0.334,0.19,0.113,0.238,0.272,0.062,0.312,0.203,0.128
Climate Change GLOBAL WARMING IS THE BIGGEST FRAUD SCAM IN HISTORY Dan Pena,R4P-syCkdMU,Dan Pena,0.359,0.387,0.254,0.398,0.278,0.323,0.289,0.465,0.313,0.263
Climate Change GLOBAL WARMING IS THE BIGGEST FRAUD SCAM IN HISTORY Dan Pena,R4P-syCkdMU,Dan Pena,0.06,0.146,0.114,0.057,0.16,0.13,0.148,0.046,0.082,0.143
